Running Eigenvalue decomposition tests...
0.3 0.436908 -0.18659 0.226738 -0.268843
0.6 0.650146 -0.264957 0.313504 -0.356455
0.9 0.725593 -0.269138 0.300785 -0.310711
1.2 0.719818 -0.224874 0.222696 -0.179796
1.5 0.669458 -0.151376 0.107343 -0.0085855
1.8 0.597716 -0.0627417 -0.022751 0.164291
2.1 0.518838 0.0309122 -0.150176 0.308562
2.4 0.441178 0.122535 -0.262126 0.403515
2.7 0.369279 0.207418 -0.349874 0.438298
3 0.305282 0.282622 -0.408233 0.411375
3.3 0.249851 0.346522 -0.435023 0.32928
3.6 0.202794 0.398452 -0.430545 0.20482
3.9 0.163455 0.438428 -0.397078 0.0549375
4.2 0.130967 0.466939 -0.338402 -0.101552
4.5 0.104398 0.484778 -0.259359 -0.246163
4.8 0.0828477 0.492922 -0.165446 -0.362682
5.1 0.0654857 0.49244 -0.0624621 -0.43872
5.4 0.0515793 0.484428 0.0438092 -0.466757
5.7 0.0404956 0.469958 0.147861 -0.444642
6 0.0316992 0.450047 0.244681 -0.375529
6.3 0.0247434 0.425636 0.32992 -0.267318
6.6 0.0192595 0.397578 0.400014 -0.131657
6.9 0.0149463 0.366628 0.452267 0.017353
7.2 0.0115595 0.333448 0.484883 0.164624
7.5 0.00890155 0.298601 0.496973 0.295578
7.8 0.00681389 0.26256 0.488523 0.397532
8.1 0.00516901 0.225711 0.460333 0.460847
8.4 0.00386447 0.188362 0.413935 0.479765
8.7 0.00281741 0.150743 0.351493 0.452844
9 0.00196018 0.113021 0.275687 0.382991
9.3 0.00123635 0.0752994 0.189589 0.277092
9.6 0.00059747 0.0376261 0.0965361 0.145292
