Testing u'' = - u
 With starting condition: u(0)=0 and u'(0)=1
This has solution u(x)= sin(x)
         x        u (num)      u (exact)          error
    0.0000         0.0000         0.0000         0.0000
    0.0668         0.0668         0.0667         0.0000
    0.1308         0.1305         0.1304         0.0001
    0.1931         0.1921         0.1919         0.0001
    0.2545         0.2519         0.2517         0.0002
    0.3152         0.3102         0.3100         0.0002
    0.3755         0.3669         0.3667         0.0002
    0.4355         0.4221         0.4219         0.0003
    0.4954         0.4757         0.4754         0.0003
    0.5552         0.5274         0.5271         0.0003
    0.6150         0.5773         0.5769         0.0003
    0.6747         0.6250         0.6247         0.0003
    0.7344         0.6705         0.6701         0.0004
    0.7941         0.7136         0.7132         0.0004
    0.8537         0.7541         0.7537         0.0004
    0.9134         0.7920         0.7916         0.0004
    0.9731         0.8270         0.8266         0.0004
    1.0327         0.8590         0.8587         0.0004
    1.0924         0.8881         0.8877         0.0003
    1.1520         0.9139         0.9136         0.0003
    1.2117         0.9365         0.9362         0.0003
    1.2713         0.9558         0.9555         0.0003
    1.3310         0.9716         0.9714         0.0002
    1.3907         0.9840         0.9838         0.0002
    1.4503         0.9929         0.9928         0.0001
    1.5100         0.9982         0.9982         0.0001
    1.5696         1.0000         1.0000         0.0000
    1.6293         0.9983         0.9983         0.0000
    1.6889         0.9930         0.9930         0.0001
    1.7486         0.9841         0.9842         0.0001
    1.8082         0.9717         0.9719         0.0002
    1.8679         0.9559         0.9562         0.0003
    1.9275         0.9367         0.9370         0.0004
    1.9872         0.9141         0.9146         0.0004
    2.0469         0.8883         0.8888         0.0005
    2.1065         0.8593         0.8599         0.0006
    2.1662         0.8273         0.8279         0.0007
    2.2258         0.7923         0.7930         0.0008
    2.2855         0.7545         0.7553         0.0009
    2.3451         0.7139         0.7149         0.0009
    2.4048         0.6709         0.6719         0.0010
    2.4644         0.6255         0.6266         0.0011
    2.5241         0.5778         0.5790         0.0012
    2.5837         0.5281         0.5294         0.0013
    2.6434         0.4765         0.4778         0.0014
    2.7030         0.4232         0.4246         0.0014
    2.7627         0.3684         0.3699         0.0015
    2.8224         0.3123         0.3138         0.0016
    2.8820         0.2550         0.2567         0.0017
    2.9417         0.1969         0.1986         0.0017
    3.0013         0.1380         0.1398         0.0018
    3.0610         0.0787         0.0805         0.0018
    3.1206         0.0191         0.0210         0.0019
    3.1803        -0.0406        -0.0387         0.0019
    3.2399        -0.1001        -0.0982         0.0019
    3.2996        -0.1593        -0.1573         0.0020
    3.3592        -0.2179        -0.2159         0.0020
    3.4189        -0.2757        -0.2738         0.0020
    3.4785        -0.3326        -0.3306         0.0020
    3.5382        -0.3883        -0.3863         0.0020
    3.5978        -0.4426        -0.4406         0.0020
    3.6575        -0.4953        -0.4933         0.0020
    3.7171        -0.5462        -0.5443         0.0019
    3.7768        -0.5952        -0.5933         0.0019
    3.8365        -0.6421        -0.6403         0.0018
    3.8961        -0.6867        -0.6849         0.0018
    3.9558        -0.7289        -0.7272         0.0017
    4.0154        -0.7684        -0.7668         0.0016
    4.0751        -0.8052        -0.8037         0.0015
    4.1347        -0.8392        -0.8377         0.0014
    4.1944        -0.8701        -0.8688         0.0013
    4.2540        -0.8980        -0.8968         0.0012
    4.3137        -0.9227        -0.9216         0.0011
    4.3733        -0.9440        -0.9431         0.0010
    4.4330        -0.9621        -0.9612         0.0008
    4.4926        -0.9767        -0.9760         0.0007
    4.5523        -0.9878        -0.9872         0.0006
    4.6119        -0.9954        -0.9950         0.0004
    4.6716        -0.9994        -0.9992         0.0002
    4.7312        -0.9999        -0.9998         0.0001
    4.7909        -0.9968        -0.9969         0.0001
    4.8506        -0.9902        -0.9905         0.0003
    4.9102        -0.9800        -0.9805         0.0005
    4.9699        -0.9664        -0.9670         0.0006
    5.0000        -0.9582        -0.9589         0.0007
Testing with Lotka-Volterra equations 
See recreated plot in lv_plot.svg 
Part B: Relativistic precession of planetary orbit 
