N	Estimated_Error	Actual_Error	One_Over_SqrtN
100	0.170833	0.101593	0.1
600	0.0694081	0.0882593	0.0408248
1100	0.049045	0.0220437	0.0301511
1600	0.0407753	0.0159073	0.025
2100	0.0356706	0.0107883	0.0218218
2600	0.0323109	0.0077465	0.0196116
3100	0.0299311	0.0357862	0.0179605
3600	0.0276663	0.0260371	0.0166667
4100	0.0258053	0.0147634	0.0156174
4600	0.0242645	0.00507091	0.0147442
5100	0.0233275	0.034926	0.0140028
5600	0.0218054	0.0148359	0.0133631
6100	0.0207335	0.0321778	0.0128037
6600	0.0199851	0.0262861	0.0123091
7100	0.0193259	0.0195341	0.0118678
7600	0.0189082	0.00896107	0.0114708
8100	0.0181918	0.00704932	0.0111111
8600	0.0176921	0.00212828	0.0107833
9100	0.0172566	0.00576848	0.0104828
9600	0.0167094	0.00715735	0.0102062
10100	0.0163445	0.000602555	0.00995037
10600	0.0157747	0.0255772	0.00971286
11100	0.0155653	0.00327221	0.00949158
11600	0.0151156	0.0201315	0.00928477
12100	0.0150472	0.018948	0.00909091
12600	0.0146533	0.00381488	0.00890871
13100	0.0143362	0.0019188	0.00873704
13600	0.014063	0.00311323	0.00857493
14100	0.0136641	0.027769	0.00842152
14600	0.0134869	0.0178594	0.00827606
15100	0.013402	0.00675822	0.00813788
15600	0.0131096	0.00686888	0.00800641
16100	0.012938	0.000767595	0.0078811
16600	0.0128085	0.0117131	0.00776151
17100	0.0126226	0.0122359	0.00764719
17600	0.0123951	0.00318356	0.00753778
18100	0.0120959	0.0210593	0.00743294
18600	0.0120448	0.000732439	0.00733236
19100	0.0118487	0.0066796	0.00723575
19600	0.0116756	0.0108563	0.00714286
20100	0.0115246	0.0118402	0.00705346
20600	0.0114493	0.00159265	0.00696733
21100	0.011297	0.00172488	0.00688428
21600	0.0111742	0.000111172	0.00680414
22100	0.011023	0.00501368	0.00672673
22600	0.0110245	0.0221236	0.0066519
23100	0.0107751	0.00645929	0.00657952
23600	0.0107734	0.0187113	0.00650945
24100	0.0106204	0.00947647	0.00644157
24600	0.010518	0.0108609	0.00637577
25100	0.0104122	0.010756	0.00631194
25600	0.010278	0.0033114	0.00625
26100	0.0102507	0.0202133	0.00618984
26600	0.0101163	0.0112167	0.00613139
27100	0.0100129	0.00889893	0.00607457
27600	0.00994426	0.0143463	0.00601929
28100	0.00978621	0.00246429	0.0059655
28600	0.00968178	0.00693881	0.00591312
29100	0.00955245	0.017995	0.0058621
29600	0.00957206	0.00672779	0.00581238
30100	0.00944106	0.00604854	0.0057639
30600	0.00934336	0.0110871	0.00571662
31100	0.00929615	0.0040022	0.00567048
31600	0.00924423	0.00159265	0.00562544
32100	0.00917701	0.00290106	0.00558146
32600	0.00907672	0.00478771	0.00553849
33100	0.00901083	0.00402668	0.0054965
33600	0.00897747	0.00492599	0.00545545
34100	0.00887302	0.00526952	0.0054153
34600	0.00885114	0.00610132	0.00537603
35100	0.00870399	0.0163561	0.00533761
35600	0.00865014	0.0143624	0.00529999
36100	0.00865273	0.00264529	0.00526316
36600	0.00860108	0.00476205	0.00522708
37100	0.00854335	0.00488106	0.00519174
37600	0.0085049	0.0101033	0.00515711
38100	0.00839616	0.00475905	0.00512316
38600	0.00834798	0.00296693	0.00508987
39100	0.00829445	0.00295978	0.00505722
39600	0.00822453	0.0079023	0.00502519
40100	0.00817649	0.00693602	0.00499376
40600	0.00815008	1.62989e-05	0.00496292
41100	0.0080429	0.0165582	0.00493264
41600	0.00799602	0.0160997	0.0049029
42100	0.00795879	0.0130867	0.0048737
42600	0.0079605	0.00121707	0.00484502
43100	0.00789818	0.00355816	0.00481683
43600	0.00786718	0.000766966	0.00478913
44100	0.00782054	0.000186758	0.0047619
44600	0.00775216	0.00719658	0.00473514
45100	0.00771393	0.00572442	0.00470882
45600	0.00770252	0.00378564	0.00468293
46100	0.00764725	0.000359624	0.00465746
46600	0.00757767	0.00913696	0.00463241
47100	0.00755595	0.0033755	0.00460776
47600	0.00754347	0.0052061	0.00458349
48100	0.0075026	0.00471116	0.00455961
48600	0.00744685	0.000711873	0.00453609
49100	0.00740929	0.000566206	0.00451294
49600	0.00738486	0.00360878	0.00449013
