N	Pseudo_Error	Quasi_Error
100	0.0126453	0.00545957
200	0.00876727	0.0017137
300	0.0236029	0.00648596
400	0.0174226	0.00230504
500	0.00644901	0.00216676
600	0.00996437	0.00201355
700	0.00744536	0.00296351
800	0.00734673	0.0022601
900	0.00636055	0.00264165
1000	0.00492356	0.00288361
1100	0.00795159	0.00240045
1200	0.00892032	0.00162932
1300	0.0108896	0.0016627
1400	0.00926195	0.00126815
1500	0.00851096	0.0012899
1600	0.00684449	0.000480226
1700	0.00617103	0.000557234
1800	0.00433462	0.00117367
1900	0.0041989	0.000961821
2000	0.00350072	0.00082398
2100	0.00289575	0.000927532
2200	0.00300909	0.00120731
2300	0.00390627	0.000816762
2400	0.00382503	0.00101285
2500	0.0027153	0.00105309
2600	0.00318572	0.000880886
2700	0.00327441	0.000886913
2800	0.00361622	0.00103257
2900	0.00354673	0.000701549
3000	0.00444956	0.000967282
3100	0.00391775	0.000636733
3200	0.00361468	0.000882599
3300	0.00322627	0.000915872
3400	0.00289863	0.000584342
3500	0.00178918	0.000675687
3600	0.000172948	0.000686762
3700	0.000327176	0.0010596
3800	0.0011998	0.000731268
3900	0.00038614	0.000949453
4000	4.45905e-05	0.000821889
4100	0.000131889	0.000715878
4200	0.000114171	0.000541241
4300	0.000270283	0.000440484
4400	0.000352173	0.000321892
4500	0.000116098	0.000490423
4600	6.67471e-05	0.000464618
4700	0.000168969	0.000651488
4800	0.000678662	0.000672539
4900	0.00125927	0.000634975
5000	0.00131832	0.000526933
5100	0.00122893	0.000591205
5200	0.00140357	0.00068459
5300	0.00121739	0.000483374
5400	0.00186908	0.000563212
5500	0.00199296	0.000528454
5600	0.00184569	0.00051308
5700	0.00173708	0.000282456
5800	0.0017896	0.000277612
5900	0.00142747	0.000465843
6000	0.00159176	0.000351163
6100	0.00121639	0.000338839
6200	0.00128527	0.000411069
6300	0.0010232	0.000544213
6400	0.000646956	0.000383382
6500	0.000831815	0.000420373
6600	0.000882243	0.000491518
6700	0.000762979	0.000454462
6800	0.000409691	0.000337006
6900	0.00037641	0.000322401
7000	2.36705e-05	0.00027711
7100	0.000348494	0.000372354
7200	0.000261197	0.000105795
7300	0.000248961	0.000355062
7400	0.000507037	0.000435766
7500	8.92316e-05	0.000375867
7600	0.000706664	0.00041384
7700	0.000928725	0.000398142
7800	0.000827106	0.00041462
7900	0.000767356	0.000301418
8000	0.000889351	0.000327888
8100	0.000668177	0.000348625
8200	0.000682825	0.000387438
8300	0.000286271	0.000257935
8400	0.00045519	0.000233207
8500	0.000838298	0.000312693
8600	0.00122128	0.000335386
8700	0.00108472	0.000131406
8800	0.000891631	0.000205881
8900	0.00113279	0.0001603
9000	0.000981967	0.000310364
9100	0.00164237	0.00031329
9200	0.00177419	0.000371395
9300	0.00188881	0.000356836
9400	0.00184652	0.00025119
9500	0.00209045	0.000267232
9600	0.00210188	0.000306541
9700	0.00189903	0.000256735
9800	0.00223305	0.00015742
9900	0.00222097	0.000144001
10000	0.0023177	0.000282464
